County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,District Entity ID,School Name,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Pima County,4019.0,1-Yes,6-Not a Title I school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Academy Del Sol Inc. (90199),400797.0,200,164,104,96,5,1,134,13,44,0,3,040079702994,90199,Academy Del Sol,"Academy Del Sol, Inc.",19.0,2022,1,0.52,0.48,0.025,0.005,0.67,0.065,0.22,0.0,0.015,0.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,1-Yes,6-Not a Title I school,403.0,Yes participating without using any Provision or the CEO,Elementary,Academy Del Sol Inc. (90199),400797.0,527,130,238,289,8,1,475,6,35,1,1,040079703230,90199,Academy Del Sol - Hope,"Academy Del Sol, Inc.",35.0,2022,1,0.45161290322580644,0.5483870967741935,0.015180265654648957,0.0018975332068311196,0.9013282732447818,0.011385199240986717,0.06641366223908918,0.0018975332068311196,0.0018975332068311196,0.24667931688804554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mohave County,4015.0,1-Yes,6-Not a Title I school,404.0,No,High,Academy of Building Industries Inc. (85540),400414.0,104,,70,34,2,0,19,4,77,2,0,040041402412,85540,Academy of Building Industries,"Academy of Building Industries, Inc.",19.0,2022,1,0.6730769230769231,0.3269230769230769,0.019230769230769232,0.0,0.18269230769230768,0.038461538461538464,0.7403846153846154,0.019230769230769232,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pima County,4019.0,1-Yes,5-Title I schoolwide school,402.0,Yes participating without using any Provision or the CEO,Other,Academy of Mathematics and Science Inc. (79961),400368.0,565,200,265,300,15,9,412,36,92,1,0,040036802037,79961,Academy of Math and Science,"Academy of Mathematics and Science, Inc.",51.0,2022,1,0.4690265486725664,0.5309734513274337,0.02654867256637168,0.01592920353982301,0.7292035398230089,0.06371681415929203,0.16283185840707964,0.0017699115044247787,0.0,0.35398230088495575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,1-Yes,6-Not a Title I school,402.0,No,Elementary,Academy of Mathematics and Science Inc. (79961),400368.0,486,,249,237,13,21,341,84,25,2,0,040036803755,79961,Academy of Math and Science Advanced Virtual Academy,"Academy of Mathematics and Science, Inc.",30.5,2022,1,0.5123456790123457,0.4876543209876543,0.026748971193415638,0.043209876543209874,0.7016460905349794,0.1728395061728395,0.051440329218107,0.00411522633744856,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,403.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,1079,241,521,558,8,18,836,143,69,1,4,040089103676,90878,Academy of Math and Science Avondale,"Academy of Mathematics and Science South, Inc.",32.0,2022,1,0.48285449490268767,0.5171455050973123,0.0074142724745134385,0.016682113067655237,0.7747914735866543,0.13253012048192772,0.0639481000926784,0.0009267840593141798,0.0037071362372567192,0.22335495829471733,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science Inc. (92768),400940.0,1125,347,586,539,5,7,949,116,46,2,0,040094003499,92768,Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",16.0,2022,1,0.5208888888888888,0.4791111111111111,0.0044444444444444444,0.006222222222222222,0.8435555555555555,0.10311111111111111,0.04088888888888889,0.0017777777777777779,0.0,0.30844444444444447,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,1292,368,686,606,9,8,1173,62,39,1,0,040089103581,90878,Academy of Math and Science Desert Sky,"Academy of Mathematics and Science South, Inc.",29.5,2022,1,0.5309597523219814,0.46904024767801855,0.00696594427244582,0.006191950464396285,0.9078947368421053,0.047987616099071206,0.03018575851393189,0.0007739938080495357,0.0,0.2848297213622291,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,1248,473,620,628,10,20,900,209,105,4,0,040089103618,90878,Academy of Math and Science Glendale,"Academy of Mathematics and Science South, Inc.",25.0,2022,1,0.4967948717948718,0.5032051282051282,0.008012820512820512,0.016025641025641024,0.7211538461538461,0.1674679487179487,0.08413461538461539,0.003205128205128205,0.0,0.37900641025641024,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,408.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,724,255,368,356,11,17,410,160,123,3,0,040089103604,90878,Academy of Math and Science Peoria Advanced,"Academy of Mathematics and Science South, Inc.",21.0,2022,1,0.5082872928176796,0.49171270718232046,0.015193370165745856,0.023480662983425413,0.5662983425414365,0.22099447513812154,0.16988950276243095,0.004143646408839779,0.0,0.35220994475138123,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,811,232,425,386,6,8,607,141,48,1,0,040089103677,90878,Academy of Math and Science South Mountain,"Academy of Mathematics and Science South, Inc.",28.5,2022,1,0.5240443896424167,0.4759556103575832,0.007398273736128237,0.009864364981504316,0.7484586929716399,0.17385943279901356,0.059186189889025895,0.0012330456226880395,0.0,0.28606658446362515,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Mathematics and Science South Inc. (90878),400891.0,570,173,290,280,3,1,501,38,27,0,0,040089103399,90878,Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",25.0,2022,1,0.5087719298245614,0.49122807017543857,0.005263157894736842,0.0017543859649122807,0.8789473684210526,0.06666666666666667,0.04736842105263158,0.0,0.0,0.30350877192982456,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pima County,4019.0,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,402.0,Yes participating without using any Provision or the CEO,Elementary,Academy of Tucson Inc. (78897),400202.0,189,31,95,94,1,2,67,8,94,4,13,040020203141,78897,Academy of Tucson Elementary School,"Academy of Tucson, Inc.",46.5,2022,1,0.5026455026455027,0.4973544973544973,0.005291005291005291,0.010582010582010581,0.3544973544973545,0.042328042328042326,0.4973544973544973,0.021164021164021163,0.06878306878306878,0.164021164021164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,1-Yes,2-Title I targeted assistance school,402.0,Yes participating without using any Provision or the CEO,High,Academy of Tucson Inc. (78897),400202.0,179,21,90,89,0,9,48,11,83,5,23,040020201959,78897,Academy of Tucson High School,"Academy of Tucson, Inc.",45.5,2022,1,0.5027932960893855,0.4972067039106145,0.0,0.05027932960893855,0.2681564245810056,0.061452513966480445,0.46368715083798884,0.027932960893854747,0.12849162011173185,0.11731843575418995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,402.0,Yes participating without using any Provision or the CEO,Middle,Academy of Tucson Inc. (78897),400202.0,180,40,88,92,2,2,64,9,84,1,18,040020202312,78897,Academy of Tucson Middle School,"Academy of Tucson, Inc.",34.0,2022,1,0.4888888888888889,0.5111111111111111,0.011111111111111112,0.011111111111111112,0.35555555555555557,0.05,0.4666666666666667,0.005555555555555556,0.1,0.2222222222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,405.0,No,High,Academy with Community Partners  Inc (79213),400276.0,135,,74,61,3,0,84,12,36,0,0,040027601841,79213,Academy with Community Partners,Academy with Community Partners  Inc,,2022,1,0.5481481481481482,0.45185185185185184,0.022222222222222223,0.0,0.6222222222222222,0.08888888888888889,0.26666666666666666,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maricopa County,4013.0,1-Yes,6-Not a Title I school,406.0,No,High,Accelerated Learning Center Inc. (4297),400121.0,151,,82,69,1,0,29,1,112,0,8,040012101581,4297,Accelerated Learning Center,"Accelerated Learning Center, Inc.",13.0,2022,1,0.543046357615894,0.45695364238410596,0.006622516556291391,0.0,0.19205298013245034,0.006622516556291391,0.7417218543046358,0.0,0.052980132450331126,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,4019.0,1-Yes,6-Not a Title I school,403.0,No,Other,Accelerated Elementary and Secondary Schools (6364),400129.0,245,,126,119,3,5,111,3,111,1,11,040012901790,6364,Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,24.0,2022,1,0.5142857142857142,0.4857142857142857,0.012244897959183673,0.02040816326530612,0.4530612244897959,0.012244897959183673,0.4530612244897959,0.004081632653061225,0.044897959183673466,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes under Provision 2,Elementary,Acclaim Charter School (4325),400122.0,272,252,151,121,0,1,217,0,54,0,0,040012201585,4325,ACCLAIM Academy,Acclaim Charter School,7.0,2022,1,0.5551470588235294,0.44485294117647056,0.0,0.003676470588235294,0.7977941176470589,0.0,0.19852941176470587,0.0,0.0,0.9264705882352942,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yavapai County,4025.0,1-Yes,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Middle,Acorn Montessori Charter School (79437),400320.0,241,42,125,116,6,0,123,0,106,1,5,040032002227,79437,Acorn Montessori Charter School,Acorn Montessori Charter School,28.5,2022,1,0.5186721991701245,0.48132780082987553,0.024896265560165973,0.0,0.5103734439834025,0.0,0.43983402489626555,0.004149377593360996,0.02074688796680498,0.17427385892116182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Yavapai County,4025.0,1-Yes,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Acorn Montessori Charter School (79437),400320.0,232,55,113,119,1,2,87,2,136,0,4,040032002576,79437,"Acorn Montessori Charter School, Inc. - West",Acorn Montessori Charter School,19.5,2022,1,0.4870689655172414,0.5129310344827587,0.004310344827586207,0.008620689655172414,0.375,0.008620689655172414,0.5862068965517241,0.0,0.017241379310344827,0.23706896551724138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Mesa Unified District (4235),404970.0,622,284,341,281,67,4,351,77,80,12,31,040497000378,4235,Adams Elementary School,Mesa Unified District,16.0,2022,0,0.5482315112540193,0.4517684887459807,0.10771704180064309,0.006430868167202572,0.5643086816720257,0.12379421221864952,0.12861736334405144,0.01929260450160772,0.04983922829581994,0.4565916398713826,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maricopa County,4013.0,1-Yes,6-Not a Title I school,406.0,Yes participating without using any Provision or the CEO,Elementary,Choice Academies Inc. (90138),400805.0,529,35,286,243,3,186,54,15,243,1,27,040080503050,90138,Adams Traditional Academy,"Choice Academies, Inc.",73.5,2022,1,0.5406427221172023,0.45935727788279773,0.005671077504725898,0.3516068052930057,0.10207939508506617,0.02835538752362949,0.45935727788279773,0.001890359168241966,0.05103969754253308,0.0661625708884688,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,4019.0,1-Yes,5-Title I schoolwide school,402.0,Yes participating without using any Provision or the CEO,Elementary,Educational Impact Inc. (81123),400613.0,111,,62,49,7,3,60,12,26,1,2,040061302553,81123,Adventure School,"Educational Impact, Inc.",29.0,2022,1,0.5585585585585585,0.44144144144144143,0.06306306306306306,0.02702702702702703,0.5405405405405406,0.10810810810810811,0.23423423423423423,0.009009009009009009,0.018018018018018018,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,2-No,6-Not a Title I school,402.0,Yes participating without using any Provision or the CEO,Elementary,Tanque Verde Unified District (4408),408280.0,472,24,224,248,0,1,108,2,347,3,11,040828001150,4408,Agua Caliente School,Tanque Verde Unified District,64.0,2022,0,0.4745762711864407,0.5254237288135594,0.0,0.00211864406779661,0.2288135593220339,0.00423728813559322,0.7351694915254238,0.006355932203389831,0.023305084745762712,0.05084745762711865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,403.0,Yes participating without using any Provision or the CEO,High,Agua Fria Union High School District (4289),400450.0,1608,428,818,790,11,28,1123,185,215,8,38,040045000001,4289,Agua Fria High School,Agua Fria Union High School District,28.5,2022,0,0.5087064676616916,0.49129353233830847,0.006840796019900498,0.017412935323383085,0.6983830845771144,0.1150497512437811,0.13370646766169153,0.004975124378109453,0.0236318407960199,0.26616915422885573,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Aguila Elementary District (4249),400480.0,129,32,63,66,0,5,122,2,0,0,0,040048000002,4249,Aguila Elementary School,Aguila Elementary District,38.5,2022,0,0.4883720930232558,0.5116279069767442,0.0,0.03875968992248062,0.9457364341085271,0.015503875968992248,0.0,0.0,0.0,0.24806201550387597,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Tempe School District (4258),408310.0,447,141,215,232,63,2,296,35,30,1,20,040831000763,4258,Aguilar School,Tempe School District,16.0,2022,0,0.4809843400447427,0.5190156599552572,0.14093959731543623,0.0044742729306487695,0.6621923937360179,0.07829977628635347,0.06711409395973154,0.0022371364653243847,0.0447427293064877,0.31543624161073824,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes under Community Eligibility Option (CEO),High,Espiritu Schools (92902),400939.0,67,36,37,30,0,0,65,1,1,0,0,040093903495,92902,AIM Higher College Prep Academy,Espiritu Schools,25.0,2022,1,0.5522388059701493,0.44776119402985076,0.0,0.0,0.9701492537313433,0.014925373134328358,0.014925373134328358,0.0,0.0,0.5373134328358209,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Provision 2,Elementary,Ajo Unified District (4409),400520.0,280,209,147,133,24,5,199,2,39,0,11,040052000003,4409,Ajo Elementary School,Ajo Unified District,11.5,2022,0,0.525,0.475,0.08571428571428572,0.017857142857142856,0.7107142857142857,0.007142857142857143,0.1392857142857143,0.0,0.039285714285714285,0.7464285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pima County,4019.0,2-No,5-Title I schoolwide school,403.0,Yes under Provision 2,High,Ajo Unified District (4409),400520.0,129,83,65,64,5,3,97,1,20,0,3,040052003063,4409,Ajo High School,Ajo Unified District,7.0,2022,0,0.5038759689922481,0.49612403100775193,0.03875968992248062,0.023255813953488372,0.751937984496124,0.007751937984496124,0.15503875968992248,0.0,0.023255813953488372,0.6434108527131783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pinal County,4021.0,1-Yes,5-Title I schoolwide school,401.0,No,Elementary,Akimel O'Otham Pee Posh Charter School Inc. (78966),400404.0,8,,4,4,8,0,0,0,0,0,0,040040401993,78966,Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",,2022,1,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Navajo County,4017.0,2-No,5-Title I schoolwide school,401.0,Yes under Community Eligibility Option (CEO),High,Whiteriver Unified District (4394),409160.0,703,562,354,349,691,1,7,0,0,1,3,040916000005,4394,Alchesay High School,Whiteriver Unified District,3.0,2022,0,0.5035561877667141,0.49644381223328593,0.9829302987197724,0.001422475106685633,0.00995732574679943,0.0,0.0,0.001422475106685633,0.004267425320056899,0.7994310099573257,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,Yes under Provision 2,High,Phoenix Union High School District (4286),406330.0,2395,2059,1251,1144,29,112,1882,251,100,4,17,040633000538,4286,Alhambra High School,Phoenix Union High School District,8.0,2022,0,0.5223382045929019,0.47766179540709813,0.012108559498956159,0.04676409185803758,0.7858037578288101,0.10480167014613778,0.04175365344467641,0.0016701461377870565,0.007098121085594989,0.8597077244258873,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,2-No,4-Title I schoolwide eligible school-No program,407.0,Yes participating without using any Provision or the CEO,Elementary,Alhambra Elementary District (4280),400600.0,718,102,344,374,3,22,527,73,75,0,18,040060001283,4280,Alhambra Traditional School,Alhambra Elementary District,72.0,2022,0,0.479108635097493,0.520891364902507,0.004178272980501393,0.03064066852367688,0.733983286908078,0.10167130919220056,0.10445682451253482,0.0,0.025069637883008356,0.14206128133704735,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yuma County,4027.0,2-No,5-Title I schoolwide school,403.0,Yes participating without using any Provision or the CEO,Elementary,Yuma Elementary District (4499),409600.0,315,116,167,148,0,2,240,6,61,0,6,040960000981,4499,Alice Byrne Elementary School,Yuma Elementary District,42.5,2022,0,0.5301587301587302,0.46984126984126984,0.0,0.006349206349206349,0.7619047619047619,0.01904761904761905,0.19365079365079366,0.0,0.01904761904761905,0.3682539682539683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
