Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0403,No,1-Primary,569,,286,283,15,1,466,7,73,2,5,040079703230,Academy Del Sol - Hope,90199,"Academy Del Sol, Inc.",43.5,2016,1,0.5026362038664324,0.4973637961335677,0.026362038664323375,0.0017574692442882249,0.8189806678383128,0.012302284710017574,0.1282952548330404,0.0035149384885764497,0.008787346221441126,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Academy of Building Industries  Inc.,0400414,Mohave County,04015,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0404,No,3-High,99,81,60,39,0,0,17,2,79,0,1,040041402412,Academy of Building Industries,85540,"Academy of Building Industries, Inc.",20.5,2016,1,0.6060606060606061,0.3939393939393939,0.0,0.0,0.1717171717171717,0.020202020202020204,0.797979797979798,0.0,0.010101010101010102,0.8181818181818182,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Academy of Mathematics and Science Inc. 1,0400368,Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,4-Other,431,318,212,219,14,13,271,18,95,0,20,040036802037,Academy of Math and Science,79961,"Academy of Mathematics and Science, Inc.",66.5,2016,1,0.4918793503480278,0.5081206496519721,0.03248259860788863,0.030162412993039442,0.62877030162413,0.04176334106728538,0.22041763341067286,0.0,0.04640371229698376,0.7378190255220418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Mathematics and Science Inc. 2,0400940,Maricopa County,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0407,Yes participating without using any Provision or the CEO,1-Primary,397,291,198,199,1,0,363,22,9,0,2,040094003499,Academy of Math and Science Camelback,92768,"Academy of Mathematics and Science, Inc.",30.0,2016,1,0.4987405541561713,0.5012594458438288,0.0025188916876574307,0.0,0.9143576826196473,0.055415617128463476,0.022670025188916875,0.0,0.005037783375314861,0.7329974811083123,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Mathematics and Science South  Inc.,0400891,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,312,250,150,162,3,2,261,28,10,0,8,040089103399,Academy of Mathematics and Science South,90878,"Academy of Mathematics and Science South, Inc.",27.5,2016,1,0.4807692307692308,0.5192307692307693,0.009615384615384616,0.00641025641025641,0.8365384615384616,0.08974358974358974,0.03205128205128205,0.0,0.02564102564102564,0.8012820512820513,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,1-Primary,292,,138,154,1,7,70,6,192,3,13,040020203141,Academy of Tucson Elementary School,78897,"Academy of Tucson, Inc.",54.5,2016,1,0.4726027397260274,0.5273972602739726,0.003424657534246575,0.023972602739726026,0.23972602739726026,0.02054794520547945,0.6575342465753424,0.010273972602739725,0.04452054794520548,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,3-High,152,,72,80,1,1,30,8,104,2,6,040020201959,Academy of Tucson High School,78897,"Academy of Tucson, Inc.",49.0,2016,1,0.47368421052631576,0.5263157894736842,0.006578947368421052,0.006578947368421052,0.19736842105263158,0.05263157894736842,0.6842105263157895,0.013157894736842105,0.039473684210526314,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,2-Middle,264,,102,162,2,6,65,14,157,3,17,040020202312,Academy of Tucson Middle School,78897,"Academy of Tucson, Inc.",45.5,2016,1,0.38636363636363635,0.6136363636363636,0.007575757575757576,0.022727272727272728,0.24621212121212122,0.05303030303030303,0.5946969696969697,0.011363636363636364,0.06439393939393939,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy with Community Partners  Inc,0400276,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0405,No,3-High,132,103,69,63,3,0,74,11,38,2,4,040027601841,Academy with Community Partners,79213,Academy with Community Partners  Inc,9.0,2016,1,0.5227272727272727,0.4772727272727273,0.022727272727272728,0.0,0.5606060606060606,0.08333333333333333,0.2878787878787879,0.015151515151515152,0.030303030303030304,0.7803030303030303,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Accelerated Learning Center  Inc.,0400121,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,3-High,204,3,122,82,7,1,34,1,154,0,7,040012101581,Accelerated Learning Center,4297,"Accelerated Learning Center, Inc.",28.5,2016,1,0.5980392156862745,0.4019607843137255,0.03431372549019608,0.004901960784313725,0.16666666666666666,0.004901960784313725,0.7549019607843137,0.0,0.03431372549019608,0.014705882352941176,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accelerated Elementary and Secondary Schools,0400129,Pima County,04019,1-Yes,5-Title I schoolwide school,0403,No,4-Other,206,57,124,82,1,5,107,9,79,2,3,040012901790,Accelerated Learning Laboratory,6364,Accelerated Elementary and Secondary Schools,59.0,2016,1,0.6019417475728155,0.39805825242718446,0.0048543689320388345,0.024271844660194174,0.5194174757281553,0.043689320388349516,0.38349514563106796,0.009708737864077669,0.014563106796116505,0.2766990291262136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Acclaim Charter School,0400122,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,405,235,204,201,0,0,388,6,8,0,3,040012201585,ACCLAIM Academy,4325,Acclaim Charter School,23.0,2016,1,0.5037037037037037,0.4962962962962963,0.0,0.0,0.9580246913580247,0.014814814814814815,0.019753086419753086,0.0,0.007407407407407408,0.5802469135802469,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acorn Montessori Charter School,0400320,Yavapai County,04025,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0404,Yes participating without using any Provision or the CEO,1-Primary,319,178,176,143,3,0,95,5,207,4,5,040032002227,Acorn Montessori Charter School,79437,Acorn Montessori Charter School,47.0,2016,1,0.5517241379310345,0.4482758620689655,0.009404388714733543,0.0,0.29780564263322884,0.01567398119122257,0.6489028213166145,0.012539184952978056,0.01567398119122257,0.5579937304075235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,1-Primary,757,689,375,382,140,4,414,83,82,10,24,040497000378,Adams Elementary School,4235,Mesa Unified District,26.5,2016,0,0.4953764861294584,0.5046235138705416,0.18494055482166447,0.005284015852047556,0.5468956406869221,0.1096433289299868,0.1083223249669749,0.013210039630118891,0.031704095112285335,0.9101717305151915,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Choice Academies  Inc.,0400805,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Yes participating without using any Provision or the CEO,1-Primary,829,,426,403,6,175,48,18,552,1,29,040080503050,Adams Traditional Academy,90138,"Choice Academies, Inc.",78.5,2016,1,0.5138721351025332,0.48612786489746684,0.007237635705669481,0.21109770808202655,0.05790108564535585,0.021712907117008445,0.6658624849215923,0.0012062726176115801,0.03498190591073583,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Educational Impact  Inc.,0400613,Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,110,,58,52,2,2,45,8,47,0,6,040061302553,Adventure School,81123,"Educational Impact, Inc.",56.0,2016,1,0.5272727272727272,0.4727272727272727,0.01818181818181818,0.01818181818181818,0.4090909090909091,0.07272727272727272,0.42727272727272725,0.0,0.05454545454545454,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Tanque Verde Unified District,0408280,Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0402,Yes participating without using any Provision or the CEO,1-Primary,492,73,237,255,8,7,83,0,384,0,10,040828001150,Agua Caliente School,4408,Tanque Verde Unified District,66.0,2016,0,0.4817073170731707,0.5182926829268293,0.016260162601626018,0.014227642276422764,0.16869918699186992,0.0,0.7804878048780488,0.0,0.02032520325203252,0.1483739837398374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Agua Fria Union High School District,0400450,Maricopa County,04013,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,3-High,1736,429,851,885,13,29,1121,193,341,5,34,040045000001,Agua Fria High School,4289,Agua Fria Union High School District,28.5,2016,0,0.4902073732718894,0.5097926267281107,0.007488479262672811,0.016705069124423964,0.6457373271889401,0.11117511520737328,0.19642857142857142,0.002880184331797235,0.019585253456221197,0.24711981566820276,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aguila Elementary District,0400480,Maricopa County,04013,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,1-Primary,155,139,77,78,0,0,145,0,6,0,4,040048000002,Aguila Elementary School,4249,Aguila Elementary District,34.5,2016,0,0.4967741935483871,0.5032258064516129,0.0,0.0,0.9354838709677419,0.0,0.03870967741935484,0.0,0.025806451612903226,0.896774193548387,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,1-Primary,472,367,249,223,38,3,339,32,49,4,7,040831000763,Aguilar School,4258,Tempe School District,31.5,2016,0,0.527542372881356,0.4724576271186441,0.08050847457627118,0.006355932203389831,0.7182203389830508,0.06779661016949153,0.1038135593220339,0.00847457627118644,0.014830508474576272,0.777542372881356,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Espiritu Schools,0400939,Maricopa County,04013,1-Yes,6-Not a Title I school,0407,Yes participating without using any Provision or the CEO,3-High,24,7,11,13,0,0,21,2,1,0,0,040093903495,AIM Higher College Prep Academy,92902,Espiritu Schools,32.5,2016,1,0.4583333333333333,0.5416666666666666,0.0,0.0,0.875,0.08333333333333333,0.041666666666666664,0.0,0.0,0.2916666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,1-Primary,301,3,155,146,30,7,198,0,58,2,6,040052000003,Ajo Elementary School,4409,Ajo Unified District,20.5,2016,0,0.5149501661129569,0.4850498338870432,0.09966777408637874,0.023255813953488372,0.6578073089700996,0.0,0.19269102990033224,0.006644518272425249,0.019933554817275746,0.009966777408637873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,5-Title I schoolwide school,0403,No,3-High,118,,67,51,16,5,81,0,15,0,1,040052003063,Ajo High School,4409,Ajo Unified District,26.5,2016,0,0.5677966101694916,0.4322033898305085,0.13559322033898305,0.0423728813559322,0.6864406779661016,0.0,0.1271186440677966,0.0,0.00847457627118644,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Akimel O'Otham Pee Posh Charter School Inc. 2,0400404,Pinal County,04021,1-Yes,5-Title I schoolwide school,0401,No,1-Primary,140,120,76,64,139,0,1,0,0,0,0,040040401993,Akimel O'Otham Pee Posh (3-5),78966,"Akimel O'Otham Pee Posh Charter School, Inc.",23.0,2016,1,0.5428571428571428,0.45714285714285713,0.9928571428571429,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
American Leadership Academy  Inc.,0400112,Maricopa County,04013,1-Yes,2-Title I targeted assistance school,0405,No,1-Primary,741,163,371,370,6,5,99,18,593,2,18,040011203328,ALA QC  Elem,4348,"American Leadership Academy, Inc.",56.0,2016,1,0.5006747638326585,0.4993252361673414,0.008097165991902834,0.006747638326585695,0.13360323886639677,0.024291497975708502,0.8002699055330634,0.002699055330634278,0.024291497975708502,0.21997300944669365,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whiteriver Unified District,0409160,Navajo County,04017,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),3-High,474,18,248,226,460,2,5,0,0,0,7,040916000005,Alchesay High School,4394,Whiteriver Unified District,3.0,2016,0,0.5232067510548524,0.4767932489451477,0.9704641350210971,0.004219409282700422,0.010548523206751054,0.0,0.0,0.0,0.014767932489451477,0.0379746835443038,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phoenix Union High School District,0406330,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,3-High,2775,2477,1494,1281,44,136,2179,222,155,10,29,040633000538,Alhambra High School,4286,Phoenix Union High School District,17.0,2016,0,0.5383783783783784,0.4616216216216216,0.015855855855855857,0.04900900900900901,0.7852252252252252,0.08,0.055855855855855854,0.0036036036036036037,0.010450450450450451,0.8926126126126126,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alhambra Elementary District,0400600,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0407,Yes participating without using any Provision or the CEO,1-Primary,741,417,335,406,9,15,515,55,134,1,12,040060001283,Alhambra Traditional School,4280,Alhambra Elementary District,82.5,2016,0,0.45209176788124156,0.5479082321187584,0.012145748987854251,0.020242914979757085,0.6950067476383266,0.07422402159244265,0.18083670715249664,0.001349527665317139,0.016194331983805668,0.562753036437247,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yuma Elementary District,0409600,Yuma County,04027,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,1-Primary,339,211,183,156,2,8,245,1,79,0,4,040960000981,Alice Byrne Elementary School,4499,Yuma Elementary District,60.0,2016,0,0.5398230088495575,0.46017699115044247,0.0058997050147492625,0.02359882005899705,0.7227138643067846,0.0029498525073746312,0.23303834808259588,0.0,0.011799410029498525,0.6224188790560472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tucson Unified District,0408800,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,2-Middle,630,,330,300,12,14,333,27,204,5,35,040880000817,Alice Vail Middle School,4403,Tucson Unified District,32.0,2016,0,0.5238095238095238,0.47619047619047616,0.01904761904761905,0.022222222222222223,0.5285714285714286,0.04285714285714286,0.3238095238095238,0.007936507936507936,0.05555555555555555,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
All Aboard Charter School,0400396,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,118,94,52,66,5,0,65,14,31,0,3,040039602306,All Aboard Charter School,79969,All Aboard Charter School,70.0,2016,1,0.4406779661016949,0.559322033898305,0.0423728813559322,0.0,0.5508474576271186,0.11864406779661017,0.2627118644067797,0.0,0.025423728813559324,0.7966101694915254,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alpine Elementary District,0400630,Apache County,04001,2-No,6-Not a Title I school,0401,No,1-Primary,62,37,28,34,5,0,6,0,51,0,0,040063000019,Alpine Elementary School,4161,Alpine Elementary District,69.0,2016,0,0.45161290322580644,0.5483870967741935,0.08064516129032258,0.0,0.0967741935483871,0.0,0.8225806451612904,0.0,0.0,0.5967741935483871,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isaac Elementary District,0403960,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes under Provision 2,1-Primary,757,754,399,358,6,1,702,32,14,0,2,040396000314,Alta E Butler School,4259,Isaac Elementary District,16.0,2016,0,0.5270805812417437,0.47291941875825627,0.007926023778071334,0.001321003963011889,0.9273447820343461,0.04227212681638045,0.018494055482166448,0.0,0.002642007926023778,0.9960369881109643,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peoria Unified School District,0406250,Maricopa County,04013,2-No,5-Title I schoolwide school,0408,Yes participating without using any Provision or the CEO,1-Primary,801,550,429,372,11,30,498,44,198,4,16,040625000507,Alta Loma School,4237,Peoria Unified School District,31.0,2016,0,0.5355805243445693,0.46441947565543074,0.01373283395755306,0.03745318352059925,0.6217228464419475,0.05493133583021224,0.24719101123595505,0.004993757802746567,0.019975031210986267,0.686641697877653,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),1-Primary,673,673,336,337,30,30,329,126,125,0,33,040906000916,Alta Vista Elementary School,4260,Washington Elementary School District,26.0,2016,0,0.49925705794947994,0.5007429420505201,0.04457652303120357,0.04457652303120357,0.4888558692421991,0.18722139673105498,0.18573551263001487,0.0,0.04903417533432392,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Altar Valley Elementary District,0404770,Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes under Community Eligibility Option (CEO),2-Middle,308,149,143,165,31,1,164,0,103,0,9,040477001005,Altar Valley Middle School,4418,Altar Valley Elementary District,30.0,2016,0,0.4642857142857143,0.5357142857142857,0.10064935064935066,0.003246753246753247,0.5324675324675324,0.0,0.3344155844155844,0.0,0.02922077922077922,0.4837662337662338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tucson Youth Development/ACE Charter High School,0400079,Pima County,04019,1-Yes,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,3-High,132,60,74,58,3,0,112,7,8,0,2,040007901008,Alternative Computerized Education (ACE) Charter High School,4422,Tucson Youth Development/ACE Charter High School,5.0,2016,1,0.5606060606060606,0.4393939393939394,0.022727272727272728,0.0,0.8484848484848485,0.05303030303030303,0.06060606060606061,0.0,0.015151515151515152,0.45454545454545453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0403,No,3-High,37,,21,16,37,0,0,0,0,0,0,040395003222,Alternative High School (Indian Oasis High School),4412,Baboquivari Unified School District #40,,2016,0,0.5675675675675675,0.43243243243243246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0403,No,2-Middle,10,,6,4,10,0,0,0,0,0,0,040395003210,Alternative Middle School (Indian Oasis Middle School),4412,Baboquivari Unified School District #40,,2016,0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
