State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Washington Elementary School District,"=""0409060""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),1-Primary,852,852,430,422,23,16,373,42,370,2,26,42.40,20.09,"=""040906000915""",Acacia Elementary School,4260,Washington Elementary School District,47,English Language Arts
Arizona,Washington Elementary School District,"=""0409060""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),1-Primary,852,852,430,422,23,16,373,42,370,2,26,42.40,20.09,"=""040906000915""",Acacia Elementary School,4260,Washington Elementary School District,53,Math
Arizona,Vail Unified District,"=""0408850""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,708,209,386,322,1,8,224,10,428,"=""0""",37,–,†,"=""040885001510""",Acacia Elementary School,4413,Vail Unified District,63,English Language Arts
Arizona,Vail Unified District,"=""0408850""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,708,209,386,322,1,8,224,10,428,"=""0""",37,–,†,"=""040885001510""",Acacia Elementary School,4413,Vail Unified District,74,Math
Arizona,Ed Ahead,"=""0400817""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0402""",Yes under Community Eligibility Option (CEO),1-Primary,67,67,35,32,5,"=""0""",30,7,20,"=""0""",5,–,†,"=""040081703191""",Academy Adventures Midtown,90506,Ed Ahead,18,English Language Arts
Arizona,Ed Ahead,"=""0400817""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0402""",Yes under Community Eligibility Option (CEO),1-Primary,67,67,35,32,5,"=""0""",30,7,20,"=""0""",5,–,†,"=""040081703191""",Academy Adventures Midtown,90506,Ed Ahead,22,Math
Arizona,Academy Del Sol  Inc.,"=""0400797""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,99,–,47,52,1,"=""0""",61,12,25,"=""0""","=""0""",–,†,"=""040079702994""",Academy Del Sol,90199,"Academy Del Sol, Inc.",36,English Language Arts
Arizona,Academy Del Sol  Inc.,"=""0400797""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,99,–,47,52,1,"=""0""",61,12,25,"=""0""","=""0""",–,†,"=""040079702994""",Academy Del Sol,90199,"Academy Del Sol, Inc.",30,Math
Arizona,Academy Del Sol  Inc.,"=""0400797""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,531,–,267,264,11,2,428,7,78,1,4,–,†,"=""040079703230""",Academy Del Sol - Hope,90199,"Academy Del Sol, Inc.",54,English Language Arts
Arizona,Academy Del Sol  Inc.,"=""0400797""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,531,–,267,264,11,2,428,7,78,1,4,–,†,"=""040079703230""",Academy Del Sol - Hope,90199,"Academy Del Sol, Inc.",53,Math
Arizona,Academy of Building Industries  Inc.,"=""0400414""",Mohave County,"=""04015""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0404""",No,3-High,121,92,76,45,1,"=""0""",22,7,90,"=""0""",1,–,†,"=""040041402412""",Academy of Building Industries,85540,"Academy of Building Industries, Inc.",8,English Language Arts
Arizona,Academy of Building Industries  Inc.,"=""0400414""",Mohave County,"=""04015""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0404""",No,3-High,121,92,76,45,1,"=""0""",22,7,90,"=""0""",1,–,†,"=""040041402412""",Academy of Building Industries,85540,"Academy of Building Industries, Inc.",10,Math
Arizona,Academy of Mathematics and Science  Inc.,"=""0400368""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,4-Other,419,326,198,221,8,12,284,14,92,"=""0""",9,–,†,"=""040036802037""",Academy of Math and Science,79961,"Academy of Mathematics and Science, Inc.",58,English Language Arts
Arizona,Academy of Mathematics and Science  Inc.,"=""0400368""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,4-Other,419,326,198,221,8,12,284,14,92,"=""0""",9,–,†,"=""040036802037""",Academy of Math and Science,79961,"Academy of Mathematics and Science, Inc.",66,Math
ARIZONA,Academy of Mathematics and Science  Inc.,"=""0400940""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,585,551,304,281,"=""0""",2,533,26,19,"=""0""",5,–,†,"=""040094003499""",Academy of Math and Science Camelback,92768,"Academy of Mathematics and Science, Inc.",29,English Language Arts
ARIZONA,Academy of Mathematics and Science  Inc.,"=""0400940""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,585,551,304,281,"=""0""",2,533,26,19,"=""0""",5,–,†,"=""040094003499""",Academy of Math and Science Camelback,92768,"Academy of Mathematics and Science, Inc.",33,Math
Arizona,Academy of Mathematics and Science South  Inc.,"=""0400891""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,505,466,237,268,3,1,451,35,13,"=""0""",2,–,†,"=""040089103399""",Academy of Mathematics and Science South,90878,"Academy of Mathematics and Science South, Inc.",32,English Language Arts
Arizona,Academy of Mathematics and Science South  Inc.,"=""0400891""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,505,466,237,268,3,1,451,35,13,"=""0""",2,–,†,"=""040089103399""",Academy of Mathematics and Science South,90878,"Academy of Mathematics and Science South, Inc.",27,Math
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,1-Primary,284,–,133,151,1,6,71,6,181,1,18,–,†,"=""040020203141""",Academy of Tucson Elementary School,78897,"Academy of Tucson, Inc.",64,English Language Arts
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,1-Primary,284,–,133,151,1,6,71,6,181,1,18,–,†,"=""040020203141""",Academy of Tucson Elementary School,78897,"Academy of Tucson, Inc.",43,Math
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,3-High,155,–,65,90,1,4,34,6,99,3,8,–,†,"=""040020201959""",Academy of Tucson High School,78897,"Academy of Tucson, Inc.",52,English Language Arts
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,3-High,155,–,65,90,1,4,34,6,99,3,8,–,†,"=""040020201959""",Academy of Tucson High School,78897,"Academy of Tucson, Inc.",45,Math
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,2-Middle,260,–,119,141,2,4,67,9,153,3,22,–,†,"=""040020202312""",Academy of Tucson Middle School,78897,"Academy of Tucson, Inc.",57,English Language Arts
Arizona,Academy of Tucson  Inc.,"=""0400202""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",No,2-Middle,260,–,119,141,2,4,67,9,153,3,22,–,†,"=""040020202312""",Academy of Tucson Middle School,78897,"Academy of Tucson, Inc.",34,Math
Arizona,Academy with Community Partners  Inc,"=""0400276""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0405""",No,3-High,127,96,71,56,2,1,72,8,39,"=""0""",5,–,†,"=""040027601841""",Academy with Community Partners,79213,Academy with Community Partners  Inc,3,English Language Arts
Arizona,Academy with Community Partners  Inc,"=""0400276""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0405""",No,3-High,127,96,71,56,2,1,72,8,39,"=""0""",5,–,†,"=""040027601841""",Academy with Community Partners,79213,Academy with Community Partners  Inc,<2,Math
Arizona,Accelerated Learning Center  Inc.,"=""0400121""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",No,3-High,183,–,112,71,2,1,19,2,159,"=""0""","=""0""",–,†,"=""040012101581""",Accelerated Learning Center,4297,"Accelerated Learning Center, Inc.",21,English Language Arts
Arizona,Accelerated Learning Center  Inc.,"=""0400121""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",No,3-High,183,–,112,71,2,1,19,2,159,"=""0""","=""0""",–,†,"=""040012101581""",Accelerated Learning Center,4297,"Accelerated Learning Center, Inc.",18,Math
Arizona,Accelerated Elementary and Secondary Schools,"=""0400129""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0403""",No,4-Other,176,84,106,70,"=""0""",3,94,6,68,5,"=""0""",–,†,"=""040012901790""",Accelerated Learning Laboratory,6364,Accelerated Elementary and Secondary Schools,56,English Language Arts
Arizona,Accelerated Elementary and Secondary Schools,"=""0400129""",Pima County,"=""04019""",1-Yes,5-Title I schoolwide school,"=""0403""",No,4-Other,176,84,106,70,"=""0""",3,94,6,68,5,"=""0""",–,†,"=""040012901790""",Accelerated Learning Laboratory,6364,Accelerated Elementary and Secondary Schools,53,Math
Arizona,Acclaim Charter School,"=""0400122""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,398,157,214,184,"=""0""","=""0""",385,5,6,"=""0""",2,–,†,"=""040012201585""",ACCLAIM Academy,4325,Acclaim Charter School,32,English Language Arts
Arizona,Acclaim Charter School,"=""0400122""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,398,157,214,184,"=""0""","=""0""",385,5,6,"=""0""",2,–,†,"=""040012201585""",ACCLAIM Academy,4325,Acclaim Charter School,20,Math
Arizona,Acorn Montessori Charter School,"=""0400320""",Yavapai County,"=""04025""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,313,216,161,152,7,"=""0""",97,3,195,5,6,–,†,"=""040032002227""",Acorn Montessori Charter School,79437,Acorn Montessori Charter School,53,English Language Arts
Arizona,Acorn Montessori Charter School,"=""0400320""",Yavapai County,"=""04025""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,313,216,161,152,7,"=""0""",97,3,195,5,6,–,†,"=""040032002227""",Acorn Montessori Charter School,79437,Acorn Montessori Charter School,54,Math
Arizona,Mesa Unified District,"=""0404970""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0409""",Yes participating without using any Provision or the CEO,1-Primary,693,652,336,357,114,5,384,91,65,8,26,41.68,16.63,"=""040497000378""",Adams Elementary School,4235,Mesa Unified District,27,English Language Arts
Arizona,Mesa Unified District,"=""0404970""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0409""",Yes participating without using any Provision or the CEO,1-Primary,693,652,336,357,114,5,384,91,65,8,26,41.68,16.63,"=""040497000378""",Adams Elementary School,4235,Mesa Unified District,35,Math
Arizona,Choice Academies  Inc.,"=""0400805""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",Yes participating without using any Provision or the CEO,1-Primary,800,–,415,385,3,220,55,12,484,1,25,–,†,"=""040080503050""",Adams Traditional Academy,90138,"Choice Academies, Inc.",80,English Language Arts
Arizona,Choice Academies  Inc.,"=""0400805""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",Yes participating without using any Provision or the CEO,1-Primary,800,–,415,385,3,220,55,12,484,1,25,–,†,"=""040080503050""",Adams Traditional Academy,90138,"Choice Academies, Inc.",84,Math
Arizona,Educational Impact  Inc.,"=""0400613""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,85,–,43,42,4,1,38,5,30,"=""0""",7,–,†,"=""040061302553""",Adventure School,81123,"Educational Impact, Inc.",58,English Language Arts
Arizona,Educational Impact  Inc.,"=""0400613""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,85,–,43,42,4,1,38,5,30,"=""0""",7,–,†,"=""040061302553""",Adventure School,81123,"Educational Impact, Inc.",48,Math
Arizona,Tanque Verde Unified District,"=""0408280""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,496,80,242,254,3,6,89,1,382,1,14,32.15,15.43,"=""040828001150""",Agua Caliente School,4408,Tanque Verde Unified District,71,English Language Arts
Arizona,Tanque Verde Unified District,"=""0408280""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0402""",Yes participating without using any Provision or the CEO,1-Primary,496,80,242,254,3,6,89,1,382,1,14,32.15,15.43,"=""040828001150""",Agua Caliente School,4408,Tanque Verde Unified District,63,Math
Arizona,Agua Fria Union High School District,"=""0400450""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,3-High,1667,1053,843,824,12,35,1082,181,325,8,24,86.40,19.29,"=""040045000001""",Agua Fria High School,4289,Agua Fria Union High School District,27,English Language Arts
Arizona,Agua Fria Union High School District,"=""0400450""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,3-High,1667,1053,843,824,12,35,1082,181,325,8,24,86.40,19.29,"=""040045000001""",Agua Fria High School,4289,Agua Fria Union High School District,38,Math
Arizona,Aguila Elementary District,"=""0400480""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,153,140,72,81,"=""0""","=""0""",146,"=""0""",4,"=""0""",3,10.00,15.30,"=""040048000002""",Aguila Elementary School,4249,Aguila Elementary District,39,English Language Arts
Arizona,Aguila Elementary District,"=""0400480""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,153,140,72,81,"=""0""","=""0""",146,"=""0""",4,"=""0""",3,10.00,15.30,"=""040048000002""",Aguila Elementary School,4249,Aguila Elementary District,25,Math
Arizona,Tempe School District,"=""0408310""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0409""",Yes participating without using any Provision or the CEO,1-Primary,488,409,250,238,45,6,336,39,46,2,14,28.28,17.26,"=""040831000763""",Aguilar School,4258,Tempe School District,32,English Language Arts
Arizona,Tempe School District,"=""0408310""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0409""",Yes participating without using any Provision or the CEO,1-Primary,488,409,250,238,45,6,336,39,46,2,14,28.28,17.26,"=""040831000763""",Aguilar School,4258,Tempe School District,36,Math
ARIZONA,Espiritu Schools,"=""0400939""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",Yes under Community Eligibility Option (CEO),3-High,39,35,16,23,"=""0""","=""0""",38,1,"=""0""","=""0""","=""0""",–,†,"=""040093903495""",AIM Higher College Prep Academy,92902,Espiritu Schools,12,English Language Arts
ARIZONA,Espiritu Schools,"=""0400939""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",Yes under Community Eligibility Option (CEO),3-High,39,35,16,23,"=""0""","=""0""",38,1,"=""0""","=""0""","=""0""",–,†,"=""040093903495""",AIM Higher College Prep Academy,92902,Espiritu Schools,14,Math
Arizona,Ajo Unified District,"=""0400520""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,300,243,144,156,24,11,198,1,57,2,7,6.97,43.04,"=""040052000003""",Ajo Elementary School,4409,Ajo Unified District,26,English Language Arts
Arizona,Ajo Unified District,"=""0400520""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,300,243,144,156,24,11,198,1,57,2,7,6.97,43.04,"=""040052000003""",Ajo Elementary School,4409,Ajo Unified District,21,Math
Arizona,Ajo Unified District,"=""0400520""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,3-High,130,100,73,57,18,5,94,"=""0""",13,"=""0""","=""0""",7.00,18.57,"=""040052003063""",Ajo High School,4409,Ajo Unified District,16,English Language Arts
Arizona,Ajo Unified District,"=""0400520""",Pima County,"=""04019""",2-No,6-Not a Title I school,"=""0403""",Yes participating without using any Provision or the CEO,3-High,130,100,73,57,18,5,94,"=""0""",13,"=""0""","=""0""",7.00,18.57,"=""040052003063""",Ajo High School,4409,Ajo Unified District,25,Math
Arizona,Akimel O'Otham Pee Posh Charter School  Inc.,"=""0400404""",Pinal County,"=""04021""",1-Yes,5-Title I schoolwide school,"=""0401""",No,1-Primary,117,108,59,58,112,"=""0""",1,"=""0""","=""0""",1,3,–,†,"=""040040401993""",Akimel O'Otham Pee Posh (3-5),78966,"Akimel O'Otham Pee Posh Charter School, Inc.",21,English Language Arts
Arizona,Akimel O'Otham Pee Posh Charter School  Inc.,"=""0400404""",Pinal County,"=""04021""",1-Yes,5-Title I schoolwide school,"=""0401""",No,1-Primary,117,108,59,58,112,"=""0""",1,"=""0""","=""0""",1,3,–,†,"=""040040401993""",Akimel O'Otham Pee Posh (3-5),78966,"Akimel O'Otham Pee Posh Charter School, Inc.",25,Math
Arizona,American Leadership Academy  Inc.,"=""0400112""",Maricopa County,"=""04013""",1-Yes,1-Title I targeted assistance eligible school-No program,"=""0405""",No,1-Primary,760,147,379,381,8,5,99,18,610,3,17,–,†,"=""040011203328""",ALA QC  Elem,4348,"American Leadership Academy, Inc.",56,English Language Arts
Arizona,American Leadership Academy  Inc.,"=""0400112""",Maricopa County,"=""04013""",1-Yes,1-Title I targeted assistance eligible school-No program,"=""0405""",No,1-Primary,760,147,379,381,8,5,99,18,610,3,17,–,†,"=""040011203328""",ALA QC  Elem,4348,"American Leadership Academy, Inc.",62,Math
Arizona,Whiteriver Unified District,"=""0409160""",Navajo County,"=""04017""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),3-High,521,521,260,261,510,1,5,"=""0""",1,"=""0""",4,26.60,19.59,"=""040916000005""",Alchesay High School,4394,Whiteriver Unified District,6,English Language Arts
Arizona,Whiteriver Unified District,"=""0409160""",Navajo County,"=""04017""",2-No,5-Title I schoolwide school,"=""0401""",Yes under Community Eligibility Option (CEO),3-High,521,521,260,261,510,1,5,"=""0""",1,"=""0""",4,26.60,19.59,"=""040916000005""",Alchesay High School,4394,Whiteriver Unified District,3,Math
Arizona,Phoenix Union High School District,"=""0406330""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,3-High,2733,2568,1439,1294,46,126,2171,214,141,9,26,143.00,19.11,"=""040633000538""",Alhambra High School,4286,Phoenix Union High School District,15,English Language Arts
Arizona,Phoenix Union High School District,"=""0406330""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,3-High,2733,2568,1439,1294,46,126,2171,214,141,9,26,143.00,19.11,"=""040633000538""",Alhambra High School,4286,Phoenix Union High School District,20,Math
Arizona,Alhambra Elementary District,"=""0400600""",Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,713,418,317,396,5,16,506,56,113,2,15,30.00,23.77,"=""040060001283""",Alhambra Traditional School,4280,Alhambra Elementary District,80,English Language Arts
Arizona,Alhambra Elementary District,"=""0400600""",Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,713,418,317,396,5,16,506,56,113,2,15,30.00,23.77,"=""040060001283""",Alhambra Traditional School,4280,Alhambra Elementary District,93,Math
Arizona,Yuma Elementary District,"=""0409600""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,358,260,189,169,2,8,268,1,77,"=""0""",2,15.60,22.95,"=""040960000981""",Alice Byrne Elementary School,4499,Yuma Elementary District,56,English Language Arts
Arizona,Yuma Elementary District,"=""0409600""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,1-Primary,358,260,189,169,2,8,268,1,77,"=""0""",2,15.60,22.95,"=""040960000981""",Alice Byrne Elementary School,4499,Yuma Elementary District,59,Math
Arizona,Tucson Unified District,"=""0408800""",Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,2-Middle,726,473,392,334,10,13,394,35,222,4,48,36.00,20.17,"=""040880000817""",Alice Vail Middle School,4403,Tucson Unified District,34,English Language Arts
Arizona,Tucson Unified District,"=""0408800""",Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,2-Middle,726,473,392,334,10,13,394,35,222,4,48,36.00,20.17,"=""040880000817""",Alice Vail Middle School,4403,Tucson Unified District,34,Math
Arizona,All Aboard Charter School,"=""0400396""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,116,99,54,62,5,1,76,13,20,"=""0""",1,–,†,"=""040039602306""",All Aboard Charter School,79969,All Aboard Charter School,62,English Language Arts
Arizona,All Aboard Charter School,"=""0400396""",Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,1-Primary,116,99,54,62,5,1,76,13,20,"=""0""",1,–,†,"=""040039602306""",All Aboard Charter School,79969,All Aboard Charter School,55,Math
Arizona,Alpine Elementary District,"=""0400630""",Apache County,"=""04001""",2-No,6-Not a Title I school,"=""0401""",No,1-Primary,61,44,29,32,5,"=""0""",9,"=""0""",47,"=""0""","=""0""",5.00,12.20,"=""040063000019""",Alpine Elementary School,4161,Alpine Elementary District,65,English Language Arts
Arizona,Alpine Elementary District,"=""0400630""",Apache County,"=""04001""",2-No,6-Not a Title I school,"=""0401""",No,1-Primary,61,44,29,32,5,"=""0""",9,"=""0""",47,"=""0""","=""0""",5.00,12.20,"=""040063000019""",Alpine Elementary School,4161,Alpine Elementary District,70,Math
Arizona,Isaac Elementary District,"=""0403960""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes under Community Eligibility Option (CEO),1-Primary,817,817,446,371,5,"=""0""",750,41,18,"=""0""",3,39.50,20.68,"=""040396000314""",Alta E Butler School,4259,Isaac Elementary District,17,English Language Arts
