Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0403,Yes participating without using any Provision or the CEO,1-Primary,531,,267,264,11,2,428,7,78,1,4,040079703230,Academy Del Sol - Hope,90199,"Academy Del Sol, Inc.",53.5,2017,1,0.5028248587570622,0.4971751412429379,0.02071563088512241,0.003766478342749529,0.8060263653483992,0.013182674199623353,0.14689265536723164,0.0018832391713747645,0.007532956685499058,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Academy of Building Industries  Inc.,0400414,Mohave County,04015,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0404,No,3-High,121,92,76,45,1,0,22,7,90,0,1,040041402412,Academy of Building Industries,85540,"Academy of Building Industries, Inc.",9.0,2017,1,0.628099173553719,0.371900826446281,0.008264462809917356,0.0,0.18181818181818182,0.05785123966942149,0.743801652892562,0.0,0.008264462809917356,0.7603305785123967,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Academy of Mathematics and Science  Inc.,0400368,Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,4-Other,419,326,198,221,8,12,284,14,92,0,9,040036802037,Academy of Math and Science,79961,"Academy of Mathematics and Science, Inc.",62.0,2017,1,0.47255369928400953,0.5274463007159904,0.01909307875894988,0.028639618138424822,0.6778042959427207,0.03341288782816229,0.21957040572792363,0.0,0.021479713603818614,0.7780429594272077,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Mathematics and Science  Inc.,0400940,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,585,551,304,281,0,2,533,26,19,0,5,040094003499,Academy of Math and Science Camelback,92768,"Academy of Mathematics and Science, Inc.",31.0,2017,1,0.5196581196581197,0.48034188034188036,0.0,0.003418803418803419,0.9111111111111111,0.044444444444444446,0.03247863247863248,0.0,0.008547008547008548,0.9418803418803419,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Mathematics and Science South  Inc.,0400891,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,505,466,237,268,3,1,451,35,13,0,2,040089103399,Academy of Mathematics and Science South,90878,"Academy of Mathematics and Science South, Inc.",29.5,2017,1,0.4693069306930693,0.5306930693069307,0.005940594059405941,0.0019801980198019802,0.8930693069306931,0.06930693069306931,0.02574257425742574,0.0,0.0039603960396039604,0.9227722772277228,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,1-Primary,284,,133,151,1,6,71,6,181,1,18,040020203141,Academy of Tucson Elementary School,78897,"Academy of Tucson, Inc.",53.5,2017,1,0.46830985915492956,0.5316901408450704,0.0035211267605633804,0.02112676056338028,0.25,0.02112676056338028,0.6373239436619719,0.0035211267605633804,0.06338028169014084,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,3-High,155,,65,90,1,4,34,6,99,3,8,040020201959,Academy of Tucson High School,78897,"Academy of Tucson, Inc.",48.5,2017,1,0.41935483870967744,0.5806451612903226,0.0064516129032258064,0.025806451612903226,0.21935483870967742,0.03870967741935484,0.6387096774193548,0.01935483870967742,0.05161290322580645,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,No,2-Middle,260,,119,141,2,4,67,9,153,3,22,040020202312,Academy of Tucson Middle School,78897,"Academy of Tucson, Inc.",45.5,2017,1,0.4576923076923077,0.5423076923076923,0.007692307692307693,0.015384615384615385,0.25769230769230766,0.03461538461538462,0.5884615384615385,0.011538461538461539,0.08461538461538462,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy with Community Partners  Inc,0400276,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0405,No,3-High,127,96,71,56,2,1,72,8,39,0,5,040027601841,Academy with Community Partners,79213,Academy with Community Partners  Inc,3.0,2017,1,0.5590551181102362,0.4409448818897638,0.015748031496062992,0.007874015748031496,0.5669291338582677,0.06299212598425197,0.30708661417322836,0.0,0.03937007874015748,0.7559055118110236,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Accelerated Learning Center  Inc.,0400121,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,3-High,183,,112,71,2,1,19,2,159,0,0,040012101581,Accelerated Learning Center,4297,"Accelerated Learning Center, Inc.",19.5,2017,1,0.6120218579234973,0.3879781420765027,0.01092896174863388,0.00546448087431694,0.10382513661202186,0.01092896174863388,0.8688524590163934,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accelerated Elementary and Secondary Schools,0400129,Pima County,04019,1-Yes,5-Title I schoolwide school,0403,No,4-Other,176,84,106,70,0,3,94,6,68,5,0,040012901790,Accelerated Learning Laboratory,6364,Accelerated Elementary and Secondary Schools,54.5,2017,1,0.6022727272727273,0.3977272727272727,0.0,0.017045454545454544,0.5340909090909091,0.03409090909090909,0.38636363636363635,0.028409090909090908,0.0,0.4772727272727273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Acclaim Charter School,0400122,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,398,157,214,184,0,0,385,5,6,0,2,040012201585,ACCLAIM Academy,4325,Acclaim Charter School,26.0,2017,1,0.5376884422110553,0.4623115577889447,0.0,0.0,0.9673366834170855,0.01256281407035176,0.01507537688442211,0.0,0.005025125628140704,0.3944723618090452,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acorn Montessori Charter School,0400320,Yavapai County,04025,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0404,Yes participating without using any Provision or the CEO,1-Primary,313,216,161,152,7,0,97,3,195,5,6,040032002227,Acorn Montessori Charter School,79437,Acorn Montessori Charter School,53.5,2017,1,0.5143769968051118,0.48562300319488816,0.022364217252396165,0.0,0.30990415335463256,0.009584664536741214,0.6230031948881789,0.01597444089456869,0.019169329073482427,0.6900958466453674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,1-Primary,693,652,336,357,114,5,384,91,65,8,26,040497000378,Adams Elementary School,4235,Mesa Unified District,31.0,2017,0,0.48484848484848486,0.5151515151515151,0.1645021645021645,0.007215007215007215,0.5541125541125541,0.13131313131313133,0.09379509379509379,0.011544011544011544,0.03751803751803752,0.9408369408369408,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Choice Academies  Inc.,0400805,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Yes participating without using any Provision or the CEO,1-Primary,800,,415,385,3,220,55,12,484,1,25,040080503050,Adams Traditional Academy,90138,"Choice Academies, Inc.",82.0,2017,1,0.51875,0.48125,0.00375,0.275,0.06875,0.015,0.605,0.00125,0.03125,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Educational Impact  Inc.,0400613,Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,85,,43,42,4,1,38,5,30,0,7,040061302553,Adventure School,81123,"Educational Impact, Inc.",53.0,2017,1,0.5058823529411764,0.49411764705882355,0.047058823529411764,0.011764705882352941,0.4470588235294118,0.058823529411764705,0.35294117647058826,0.0,0.08235294117647059,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Tanque Verde Unified District,0408280,Pima County,04019,2-No,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,496,80,242,254,3,6,89,1,382,1,14,040828001150,Agua Caliente School,4408,Tanque Verde Unified District,67.0,2017,0,0.4879032258064516,0.5120967741935484,0.006048387096774193,0.012096774193548387,0.17943548387096775,0.0020161290322580645,0.7701612903225806,0.0020161290322580645,0.028225806451612902,0.16129032258064516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Agua Fria Union High School District,0400450,Maricopa County,04013,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,3-High,1667,1053,843,824,12,35,1082,181,325,8,24,040045000001,Agua Fria High School,4289,Agua Fria Union High School District,32.5,2017,0,0.5056988602279544,0.4943011397720456,0.007198560287942412,0.020995800839832032,0.6490701859628074,0.10857828434313137,0.1949610077984403,0.004799040191961607,0.014397120575884824,0.6316736652669466,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aguila Elementary District,0400480,Maricopa County,04013,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,1-Primary,153,140,72,81,0,0,146,0,4,0,3,040048000002,Aguila Elementary School,4249,Aguila Elementary District,32.0,2017,0,0.47058823529411764,0.5294117647058824,0.0,0.0,0.954248366013072,0.0,0.026143790849673203,0.0,0.0196078431372549,0.9150326797385621,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,1-Primary,488,409,250,238,45,6,336,39,46,2,14,040831000763,Aguilar School,4258,Tempe School District,34.0,2017,0,0.5122950819672131,0.48770491803278687,0.09221311475409837,0.012295081967213115,0.6885245901639344,0.07991803278688525,0.0942622950819672,0.004098360655737705,0.028688524590163935,0.8381147540983607,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Espiritu Schools,0400939,Maricopa County,04013,1-Yes,6-Not a Title I school,0407,Yes under Community Eligibility Option (CEO),3-High,39,35,16,23,0,0,38,1,0,0,0,040093903495,AIM Higher College Prep Academy,92902,Espiritu Schools,13.0,2017,1,0.41025641025641024,0.5897435897435898,0.0,0.0,0.9743589743589743,0.02564102564102564,0.0,0.0,0.0,0.8974358974358975,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,6-Not a Title I school,0403,Yes participating without using any Provision or the CEO,1-Primary,300,243,144,156,24,11,198,1,57,2,7,040052000003,Ajo Elementary School,4409,Ajo Unified District,23.5,2017,0,0.48,0.52,0.08,0.03666666666666667,0.66,0.0033333333333333335,0.19,0.006666666666666667,0.023333333333333334,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,6-Not a Title I school,0403,Yes participating without using any Provision or the CEO,3-High,130,100,73,57,18,5,94,0,13,0,0,040052003063,Ajo High School,4409,Ajo Unified District,20.5,2017,0,0.5615384615384615,0.43846153846153846,0.13846153846153847,0.038461538461538464,0.7230769230769231,0.0,0.1,0.0,0.0,0.7692307692307693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Akimel O'Otham Pee Posh Charter School  Inc.,0400404,Pinal County,04021,1-Yes,5-Title I schoolwide school,0401,No,1-Primary,117,108,59,58,112,0,1,0,0,1,3,040040401993,Akimel O'Otham Pee Posh (3-5),78966,"Akimel O'Otham Pee Posh Charter School, Inc.",23.0,2017,1,0.5042735042735043,0.49572649572649574,0.9572649572649573,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.02564102564102564,0.9230769230769231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
American Leadership Academy  Inc.,0400112,Maricopa County,04013,1-Yes,1-Title I targeted assistance eligible school-No program,0405,No,1-Primary,760,147,379,381,8,5,99,18,610,3,17,040011203328,ALA QC  Elem,4348,"American Leadership Academy, Inc.",59.0,2017,1,0.4986842105263158,0.5013157894736842,0.010526315789473684,0.006578947368421052,0.13026315789473683,0.02368421052631579,0.8026315789473685,0.003947368421052632,0.02236842105263158,0.19342105263157894,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whiteriver Unified District,0409160,Navajo County,04017,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),3-High,521,521,260,261,510,1,5,0,1,0,4,040916000005,Alchesay High School,4394,Whiteriver Unified District,4.5,2017,0,0.4990403071017274,0.5009596928982726,0.9788867562380038,0.0019193857965451055,0.009596928982725527,0.0,0.0019193857965451055,0.0,0.007677543186180422,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phoenix Union High School District,0406330,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,3-High,2733,2568,1439,1294,46,126,2171,214,141,9,26,040633000538,Alhambra High School,4286,Phoenix Union High School District,17.5,2017,0,0.526527625320161,0.473472374679839,0.016831320892791803,0.04610318331503842,0.7943651664837176,0.0783022319795097,0.05159165751920966,0.003293084522502744,0.00951335528723015,0.9396267837541163,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alhambra Elementary District,0400600,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0407,Yes participating without using any Provision or the CEO,1-Primary,713,418,317,396,5,16,506,56,113,2,15,040060001283,Alhambra Traditional School,4280,Alhambra Elementary District,86.5,2017,0,0.44460028050490885,0.5553997194950911,0.0070126227208976155,0.02244039270687237,0.7096774193548387,0.0785413744740533,0.1584852734922861,0.002805049088359046,0.021037868162692847,0.5862552594670407,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yuma Elementary District,0409600,Yuma County,04027,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,1-Primary,358,260,189,169,2,8,268,1,77,0,2,040960000981,Alice Byrne Elementary School,4499,Yuma Elementary District,57.5,2017,0,0.5279329608938548,0.4720670391061452,0.00558659217877095,0.0223463687150838,0.7486033519553073,0.002793296089385475,0.21508379888268156,0.0,0.00558659217877095,0.7262569832402235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tucson Unified District,0408800,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,2-Middle,726,473,392,334,10,13,394,35,222,4,48,040880000817,Alice Vail Middle School,4403,Tucson Unified District,34.0,2017,0,0.5399449035812672,0.46005509641873277,0.013774104683195593,0.01790633608815427,0.5426997245179064,0.048209366391184574,0.30578512396694213,0.005509641873278237,0.06611570247933884,0.6515151515151515,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
All Aboard Charter School,0400396,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,116,99,54,62,5,1,76,13,20,0,1,040039602306,All Aboard Charter School,79969,All Aboard Charter School,58.5,2017,1,0.46551724137931033,0.5344827586206896,0.04310344827586207,0.008620689655172414,0.6551724137931034,0.11206896551724138,0.1724137931034483,0.0,0.008620689655172414,0.853448275862069,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alpine Elementary District,0400630,Apache County,04001,2-No,6-Not a Title I school,0401,No,1-Primary,61,44,29,32,5,0,9,0,47,0,0,040063000019,Alpine Elementary School,4161,Alpine Elementary District,67.5,2017,0,0.47540983606557374,0.5245901639344263,0.08196721311475409,0.0,0.14754098360655737,0.0,0.7704918032786885,0.0,0.0,0.7213114754098361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isaac Elementary District,0403960,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes under Community Eligibility Option (CEO),1-Primary,817,817,446,371,5,0,750,41,18,0,3,040396000314,Alta E Butler School,4259,Isaac Elementary District,14.0,2017,0,0.5458996328029376,0.4541003671970624,0.006119951040391677,0.0,0.9179926560587516,0.05018359853121175,0.022031823745410038,0.0,0.0036719706242350062,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peoria Unified School District,0406250,Maricopa County,04013,2-No,5-Title I schoolwide school,0408,Yes participating without using any Provision or the CEO,1-Primary,795,611,415,380,12,24,513,41,185,1,19,040625000507,Alta Loma School,4237,Peoria Unified School District,33.0,2017,0,0.5220125786163522,0.4779874213836478,0.01509433962264151,0.03018867924528302,0.6452830188679245,0.05157232704402516,0.23270440251572327,0.0012578616352201257,0.02389937106918239,0.7685534591194969,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),1-Primary,706,706,334,372,40,44,338,124,137,0,23,040906000916,Alta Vista Elementary School,4260,Washington Elementary School District,27.0,2017,0,0.4730878186968839,0.5269121813031161,0.056657223796033995,0.06232294617563739,0.47875354107648727,0.17563739376770537,0.19405099150141644,0.0,0.032577903682719546,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Altar Valley Elementary District,0404770,Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes under Community Eligibility Option (CEO),2-Middle,302,296,136,166,31,1,169,0,92,0,9,040477001005,Altar Valley Middle School,4418,Altar Valley Elementary District,30.5,2017,0,0.4503311258278146,0.5496688741721855,0.10264900662251655,0.0033112582781456954,0.5596026490066225,0.0,0.304635761589404,0.0,0.029801324503311258,0.9801324503311258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tucson Youth Development/ACE Charter High School,0400079,Pima County,04019,1-Yes,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,3-High,125,41,61,64,4,0,76,3,40,0,2,040007901008,Alternative Computerized Education (ACE) Charter High School,4422,Tucson Youth Development/ACE Charter High School,3.0,2017,1,0.488,0.512,0.032,0.0,0.608,0.024,0.32,0.0,0.016,0.328,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0403,Yes under Community Eligibility Option (CEO),3-High,34,,16,18,32,0,1,0,0,1,0,040395003222,Alternative High School (Indian Oasis High School),4412,Baboquivari Unified School District #40,,2017,0,0.47058823529411764,0.5294117647058824,0.9411764705882353,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0403,Yes under Community Eligibility Option (CEO),2-Middle,9,,3,6,8,0,1,0,0,0,0,040395003210,Alternative Middle School (Indian Oasis Middle School),4412,Baboquivari Unified School District #40,,2017,0,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
