County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,District Entity ID,School Name,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Pima County,04019,1-Yes,2-Title I targeted assistance school,0402,No,Academy of Tucson Inc. (78897),0400202,158,High,,60,98,2,1,33,10,96,6,10,040020201959,78897,Academy of Tucson High School,"Academy of Tucson, Inc.",42.5,2019,1,0.379746835443038,0.620253164556962,0.012658227848101266,0.006329113924050633,0.2088607594936709,0.06329113924050633,0.6075949367088608,0.0379746835443038,0.06329113924050633,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,04019,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0402,No,Academy of Tucson Inc. (78897),0400202,260,Middle,,129,131,2,1,71,11,147,1,27,040020202312,78897,Academy of Tucson Middle School,"Academy of Tucson, Inc.",48.0,2019,1,0.49615384615384617,0.5038461538461538,0.007692307692307693,0.0038461538461538464,0.27307692307692305,0.04230769230769231,0.5653846153846154,0.0038461538461538464,0.10384615384615385,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0405,No,Academy with Community Partners  Inc (79213),0400276,135,High,,82,53,3,0,83,8,36,2,3,040027601841,79213,Academy with Community Partners,Academy with Community Partners  Inc,,2019,1,0.6074074074074074,0.3925925925925926,0.022222222222222223,0.0,0.6148148148148148,0.05925925925925926,0.26666666666666666,0.014814814814814815,0.022222222222222223,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,Accelerated Learning Center Inc. (4297),0400121,179,High,,98,81,3,1,32,4,135,1,3,040012101581,4297,Accelerated Learning Center,"Accelerated Learning Center, Inc.",20.0,2019,1,0.547486033519553,0.45251396648044695,0.01675977653631285,0.00558659217877095,0.1787709497206704,0.0223463687150838,0.7541899441340782,0.00558659217877095,0.01675977653631285,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,04019,1-Yes,6-Not a Title I school,0403,No,Accelerated Elementary and Secondary Schools (6364),0400129,167,Other,,94,73,0,4,101,3,55,4,0,040012901790,6364,Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,57.5,2019,1,0.562874251497006,0.437125748502994,0.0,0.023952095808383235,0.6047904191616766,0.017964071856287425,0.32934131736526945,0.023952095808383235,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,Acclaim Charter School (4325),0400122,370,Elementary,358,,,,,,,,,,040012201585,4325,ACCLAIM Academy,Acclaim Charter School,21.5,2019,1,,,,,,,,,,0.9675675675675676,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yavapai County,04025,1-Yes,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,Acorn Montessori Charter School (79437),0400320,352,Middle,242,172,180,6,0,135,2,192,3,14,040032002227,79437,Acorn Montessori Charter School,Acorn Montessori Charter School,50.0,2019,1,0.48863636363636365,0.5113636363636364,0.017045454545454544,0.0,0.3835227272727273,0.005681818181818182,0.5454545454545454,0.008522727272727272,0.03977272727272727,0.6875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,Mesa Unified District (4235),0404970,690,Elementary,585,351,339,102,0,382,79,94,12,21,040497000378,4235,Adams Elementary School,Mesa Unified District,32.0,2019,0,0.508695652173913,0.49130434782608695,0.14782608695652175,0.0,0.553623188405797,0.1144927536231884,0.13623188405797101,0.017391304347826087,0.030434782608695653,0.8478260869565217,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Yes participating without using any Provision or the CEO,Choice Academies Inc. (90138),0400805,609,Elementary,30,318,291,2,189,50,16,328,0,24,040080503050,90138,Adams Traditional Academy,"Choice Academies, Inc.",81.0,2019,1,0.5221674876847291,0.47783251231527096,0.003284072249589491,0.3103448275862069,0.08210180623973727,0.026272577996715927,0.5385878489326765,0.0,0.03940886699507389,0.04926108374384237,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,Educational Impact Inc. (81123),0400613,157,Elementary,,81,76,6,2,89,5,43,1,11,040061302553,81123,Adventure School,"Educational Impact, Inc.",38.5,2019,1,0.5159235668789809,0.4840764331210191,0.03821656050955414,0.012738853503184714,0.5668789808917197,0.03184713375796178,0.27388535031847133,0.006369426751592357,0.07006369426751592,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,04019,2-No,1-Title I targeted assistance eligible school-No program,0402,Yes participating without using any Provision or the CEO,Tanque Verde Unified District (4408),0408280,508,Elementary,55,251,257,1,4,97,4,382,2,18,040828001150,4408,Agua Caliente School,Tanque Verde Unified District,58.5,2019,0,0.4940944881889764,0.5059055118110236,0.001968503937007874,0.007874015748031496,0.19094488188976377,0.007874015748031496,0.7519685039370079,0.003937007874015748,0.03543307086614173,0.10826771653543307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,Agua Fria Union High School District (4289),0400450,1830,High,1043,919,911,15,35,1186,203,329,12,50,040045000001,4289,Agua Fria High School,Agua Fria Union High School District,31.0,2019,0,0.5021857923497268,0.49781420765027323,0.00819672131147541,0.01912568306010929,0.6480874316939891,0.11092896174863388,0.17978142076502732,0.006557377049180328,0.0273224043715847,0.5699453551912569,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,Aguila Elementary District (4249),0400480,163,Elementary,156,79,84,0,5,147,1,8,0,2,040048000002,4249,Aguila Elementary School,Aguila Elementary District,41.0,2019,0,0.48466257668711654,0.5153374233128835,0.0,0.03067484662576687,0.901840490797546,0.006134969325153374,0.049079754601226995,0.0,0.012269938650306749,0.9570552147239264,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,Tempe School District (4258),0408310,538,Elementary,398,250,288,63,3,357,50,47,6,12,040831000763,4258,Aguilar School,Tempe School District,32.5,2019,0,0.4646840148698885,0.5353159851301115,0.1171003717472119,0.0055762081784386614,0.6635687732342007,0.09293680297397769,0.08736059479553904,0.011152416356877323,0.022304832713754646,0.7397769516728625,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes under Community Eligibility Option (CEO),Espiritu Schools (92902),0400939,54,High,51,24,30,1,0,49,0,4,0,0,040093903495,92902,AIM Higher College Prep Academy,Espiritu Schools,22.0,2019,1,0.4444444444444444,0.5555555555555556,0.018518518518518517,0.0,0.9074074074074074,0.0,0.07407407407407407,0.0,0.0,0.9444444444444444,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,Ajo Unified District (4409),0400520,317,Elementary,256,147,170,18,9,228,2,47,3,10,040052000003,4409,Ajo Elementary School,Ajo Unified District,23.5,2019,0,0.4637223974763407,0.5362776025236593,0.056782334384858045,0.028391167192429023,0.7192429022082019,0.006309148264984227,0.14826498422712933,0.00946372239747634,0.031545741324921134,0.807570977917981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,Ajo Unified District (4409),0400520,135,High,103,75,60,9,2,97,0,26,0,1,040052003063,4409,Ajo High School,Ajo Unified District,29.0,2019,0,0.5555555555555556,0.4444444444444444,0.06666666666666667,0.014814814814814815,0.7185185185185186,0.0,0.1925925925925926,0.0,0.007407407407407408,0.762962962962963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pinal County,04021,1-Yes,5-Title I schoolwide school,0401,No,Akimel O'Otham Pee Posh Charter School Inc. (78966),0400404,12,Elementary,,7,5,10,0,2,0,0,0,0,040040401993,78966,Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",26.5,2019,1,0.5833333333333334,0.4166666666666667,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Navajo County,04017,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),Whiteriver Unified District (4394),0409160,565,High,468,312,253,555,0,5,0,0,1,4,040916000005,4394,Alchesay High School,Whiteriver Unified District,5.0,2019,0,0.552212389380531,0.44778761061946903,0.9823008849557522,0.0,0.008849557522123894,0.0,0.0,0.0017699115044247787,0.007079646017699115,0.8283185840707965,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes under Provision 2,Phoenix Union High School District (4286),0406330,2648,High,2276,1408,1240,52,119,2081,253,111,4,28,040633000538,4286,Alhambra High School,Phoenix Union High School District,20.5,2019,0,0.5317220543806647,0.46827794561933533,0.019637462235649546,0.044939577039274925,0.7858761329305136,0.09554380664652568,0.041918429003021146,0.0015105740181268882,0.010574018126888218,0.8595166163141994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0407,Yes participating without using any Provision or the CEO,Alhambra Elementary District (4280),0400600,772,Elementary,493,353,419,6,15,585,59,85,2,20,040060001283,4280,Alhambra Traditional School,Alhambra Elementary District,86.0,2019,0,0.4572538860103627,0.5427461139896373,0.007772020725388601,0.019430051813471502,0.7577720207253886,0.07642487046632124,0.11010362694300518,0.0025906735751295338,0.025906735751295335,0.6386010362694301,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yuma County,04027,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,Yuma Elementary District (4499),0409600,346,Elementary,248,183,163,0,1,276,3,64,0,2,040960000981,4499,Alice Byrne Elementary School,Yuma Elementary District,58.0,2019,0,0.5289017341040463,0.47109826589595377,0.0,0.002890173410404624,0.7976878612716763,0.008670520231213872,0.18497109826589594,0.0,0.005780346820809248,0.7167630057803468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,Tucson Unified District (4403),0408800,712,Middle,433,371,341,4,15,391,44,212,2,44,040880000817,4403,Alice Vail Middle School,Tucson Unified District,31.0,2019,0,0.5210674157303371,0.4789325842696629,0.0056179775280898875,0.021067415730337078,0.5491573033707865,0.06179775280898876,0.29775280898876405,0.0028089887640449437,0.06179775280898876,0.6081460674157303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,All Aboard Charter School (79969),0400396,134,Elementary,95,77,57,1,1,91,17,24,0,0,040039602306,79969,All Aboard Charter School,All Aboard Charter School,53.5,2019,1,0.5746268656716418,0.4253731343283582,0.007462686567164179,0.007462686567164179,0.6791044776119403,0.12686567164179105,0.1791044776119403,0.0,0.0,0.7089552238805971,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apache County,04001,2-No,6-Not a Title I school,0401,No,Alpine Elementary District (4161),0400630,54,Elementary,,25,29,3,0,9,0,42,0,0,040063000019,4161,Alpine Elementary School,Alpine Elementary District,64.0,2019,0,0.46296296296296297,0.5370370370370371,0.05555555555555555,0.0,0.16666666666666666,0.0,0.7777777777777778,0.0,0.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes under Community Eligibility Option (CEO),Isaac Elementary District (4259),0403960,618,Elementary,568,323,295,4,0,574,32,6,0,2,040396000314,4259,Alta E Butler School,Isaac Elementary District,18.0,2019,0,0.5226537216828478,0.4773462783171521,0.006472491909385114,0.0,0.9288025889967637,0.05177993527508091,0.009708737864077669,0.0,0.003236245954692557,0.919093851132686,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0408,Yes participating without using any Provision or the CEO,Peoria Unified School District (4237),0406250,811,Elementary,591,397,414,11,24,498,60,188,1,29,040625000507,4237,Alta Loma School,Peoria Unified School District,36.0,2019,0,0.48951911220715166,0.5104808877928483,0.013563501849568433,0.029593094944512947,0.6140567200986436,0.07398273736128237,0.2318125770653514,0.0012330456226880395,0.035758323057953144,0.7287299630086314,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),0409060,701,Elementary,595,361,340,35,45,307,181,101,0,32,040906000916,4260,Alta Vista Elementary School,Washington Elementary School District,22.5,2019,0,0.514978601997147,0.48502139800285304,0.04992867332382311,0.06419400855920114,0.43794579172610554,0.2582025677603424,0.14407988587731813,0.0,0.0456490727532097,0.8487874465049928,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,04019,1-Yes,5-Title I schoolwide school,0403,Yes under Provision 2,American Charter Schools Foundation d.b.a. Alta Vi (80995),0400619,487,High,408,248,239,1,3,466,2,14,0,1,040061903097,80995,Alta Vista High School,American Charter Schools Foundation d.b.a. Alta Vista High School,20.0,2019,1,0.5092402464065708,0.49075975359342916,0.002053388090349076,0.006160164271047228,0.9568788501026694,0.004106776180698152,0.028747433264887063,0.0,0.002053388090349076,0.837782340862423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes under Community Eligibility Option (CEO),Altar Valley Elementary District (4418),0404770,302,Middle,211,141,161,36,0,164,3,92,0,7,040477001005,4418,Altar Valley Middle School,Altar Valley Elementary District,26.5,2019,0,0.46688741721854304,0.5331125827814569,0.11920529801324503,0.0,0.543046357615894,0.009933774834437087,0.304635761589404,0.0,0.023178807947019868,0.6986754966887417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pima County,04019,1-Yes,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,Tucson Youth Development/ACE Charter High School (4422),0400079,393,High,390,170,223,16,2,197,25,147,4,2,040007901008,4422,Alternative Computerized Education (ACE) Charter High School,Tucson Youth Development/ACE Charter High School,17.0,2019,1,0.43256997455470736,0.5674300254452926,0.04071246819338423,0.005089058524173028,0.5012722646310432,0.06361323155216285,0.37404580152671757,0.010178117048346057,0.005089058524173028,0.9923664122137404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
