Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0403,Elementary,519,378,264,255,9,2,433,10,60,1,4,Yes participating without using any Provision or the CEO,040079703230,Academy Del Sol - Hope,90199,"Academy Del Sol, Inc.",48.5,2018,1,0.5086705202312138,0.4913294797687861,0.017341040462427744,0.0038535645472061657,0.8342967244701349,0.019267822736030827,0.11560693641618497,0.0019267822736030828,0.007707129094412331,0.7283236994219653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Academy of Building Industries  Inc.,0400414,Mohave County,04015,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0404,High,115,,76,39,1,0,20,5,87,0,2,No,040041402412,Academy of Building Industries,85540,"Academy of Building Industries, Inc.",17.5,2018,1,0.6608695652173913,0.3391304347826087,0.008695652173913044,0.0,0.17391304347826086,0.043478260869565216,0.7565217391304347,0.0,0.017391304347826087,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Academy of Mathematics and Science Inc. 1,0400368,Pima County,04019,1-Yes,6-Not a Title I school,0402,Other,455,290,204,251,20,12,298,14,101,1,9,Yes participating without using any Provision or the CEO,040036802037,Academy of Math and Science,79961,"Academy of Mathematics and Science, Inc.",69.5,2018,1,0.44835164835164837,0.5516483516483517,0.04395604395604396,0.026373626373626374,0.654945054945055,0.03076923076923077,0.22197802197802197,0.002197802197802198,0.01978021978021978,0.6373626373626373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Mathematics and Science Inc. 2,0400940,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Elementary,807,685,405,402,1,1,729,46,26,0,4,Yes under Provision 2,040094003499,Academy of Math and Science Camelback,92768,"Academy of Mathematics and Science, Inc.",30.5,2018,1,0.5018587360594795,0.49814126394052044,0.0012391573729863693,0.0012391573729863693,0.9033457249070632,0.057001239157372985,0.0322180916976456,0.0,0.004956629491945477,0.8488228004956629,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Mathematics and Science South  Inc.,0400891,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Elementary,46,41,24,22,0,0,40,1,2,0,3,Yes under Provision 2,040089103399,Academy of Mathematics and Science South,90878,"Academy of Mathematics and Science South, Inc.",35.5,2018,1,0.5217391304347826,0.4782608695652174,0.0,0.0,0.8695652173913043,0.021739130434782608,0.043478260869565216,0.0,0.06521739130434782,0.8913043478260869,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,Elementary,280,,137,143,1,2,80,8,170,1,18,No,040020203141,Academy of Tucson Elementary School,78897,"Academy of Tucson, Inc.",50.0,2018,1,0.48928571428571427,0.5107142857142857,0.0035714285714285713,0.007142857142857143,0.2857142857142857,0.02857142857142857,0.6071428571428571,0.0035714285714285713,0.06428571428571428,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,High,147,,62,85,2,2,31,7,93,3,9,No,040020201959,Academy of Tucson High School,78897,"Academy of Tucson, Inc.",47.0,2018,1,0.4217687074829932,0.5782312925170068,0.013605442176870748,0.013605442176870748,0.2108843537414966,0.047619047619047616,0.6326530612244898,0.02040816326530612,0.061224489795918366,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy of Tucson  Inc.,0400202,Pima County,04019,1-Yes,6-Not a Title I school,0402,Middle,271,,131,140,3,7,68,13,151,3,26,No,040020202312,Academy of Tucson Middle School,78897,"Academy of Tucson, Inc.",47.0,2018,1,0.4833948339483395,0.5166051660516605,0.01107011070110701,0.025830258302583026,0.25092250922509224,0.04797047970479705,0.5571955719557196,0.01107011070110701,0.0959409594095941,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy with Community Partners  Inc,0400276,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0405,High,107,,64,43,2,0,70,4,29,0,2,No,040027601841,Academy with Community Partners,79213,Academy with Community Partners  Inc,8.0,2018,1,0.5981308411214953,0.40186915887850466,0.018691588785046728,0.0,0.6542056074766355,0.037383177570093455,0.27102803738317754,0.0,0.018691588785046728,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Accelerated Learning Center  Inc.,0400121,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,High,166,,101,65,2,1,25,5,130,0,3,No,040012101581,Accelerated Learning Center,4297,"Accelerated Learning Center, Inc.",15.0,2018,1,0.608433734939759,0.39156626506024095,0.012048192771084338,0.006024096385542169,0.15060240963855423,0.030120481927710843,0.7831325301204819,0.0,0.018072289156626505,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accelerated Elementary and Secondary Schools,0400129,Pima County,04019,1-Yes,6-Not a Title I school,0403,Other,165,,92,73,0,3,98,2,54,8,0,No,040012901790,Accelerated Learning Laboratory,6364,Accelerated Elementary and Secondary Schools,53.0,2018,1,0.5575757575757576,0.44242424242424244,0.0,0.01818181818181818,0.593939393939394,0.012121212121212121,0.32727272727272727,0.048484848484848485,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Acclaim Charter School,0400122,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Elementary,341,306,191,150,0,0,333,2,4,0,2,Yes participating without using any Provision or the CEO,040012201585,ACCLAIM Academy,4325,Acclaim Charter School,26.0,2018,1,0.5601173020527859,0.4398826979472141,0.0,0.0,0.9765395894428153,0.005865102639296188,0.011730205278592375,0.0,0.005865102639296188,0.8973607038123167,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acorn Montessori Charter School,0400320,Yavapai County,04025,1-Yes,5-Title I schoolwide school,0404,Middle,318,219,157,161,4,0,113,2,184,5,10,Yes participating without using any Provision or the CEO,040032002227,Acorn Montessori Charter School,79437,Acorn Montessori Charter School,53.5,2018,1,0.4937106918238994,0.5062893081761006,0.012578616352201259,0.0,0.3553459119496855,0.006289308176100629,0.5786163522012578,0.015723270440251572,0.031446540880503145,0.6886792452830188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Elementary,699,607,348,351,106,2,398,75,80,13,25,Yes participating without using any Provision or the CEO,040497000378,Adams Elementary School,4235,Mesa Unified District,25.0,2018,0,0.4978540772532189,0.5021459227467812,0.15164520743919885,0.002861230329041488,0.5693848354792561,0.1072961373390558,0.11444921316165951,0.01859799713876967,0.0357653791130186,0.8683834048640916,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Choice Academies  Inc.,0400805,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Elementary,646,44,328,318,2,165,48,10,395,1,25,Yes participating without using any Provision or the CEO,040080503050,Adams Traditional Academy,90138,"Choice Academies, Inc.",82.0,2018,1,0.5077399380804953,0.49226006191950467,0.0030959752321981426,0.25541795665634676,0.07430340557275542,0.015479876160990712,0.6114551083591331,0.0015479876160990713,0.03869969040247678,0.06811145510835913,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Educational Impact  Inc.,0400613,Pima County,04019,1-Yes,6-Not a Title I school,0402,Elementary,128,97,69,59,4,2,59,5,46,1,11,Yes participating without using any Provision or the CEO,040061302553,Adventure School,81123,"Educational Impact, Inc.",31.0,2018,1,0.5390625,0.4609375,0.03125,0.015625,0.4609375,0.0390625,0.359375,0.0078125,0.0859375,0.7578125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Tanque Verde Unified District,0408280,Pima County,04019,2-No,6-Not a Title I school,0402,Elementary,514,66,246,268,1,6,98,2,386,2,19,Yes participating without using any Provision or the CEO,040828001150,Agua Caliente School,4408,Tanque Verde Unified District,55.5,2018,0,0.4785992217898833,0.5214007782101168,0.0019455252918287938,0.011673151750972763,0.19066147859922178,0.0038910505836575876,0.7509727626459144,0.0038910505836575876,0.03696498054474708,0.12840466926070038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Agua Fria Union High School District,0400450,Maricopa County,04013,2-No,5-Title I schoolwide school,0403,High,1761,1055,862,899,12,35,1133,195,334,8,44,Yes participating without using any Provision or the CEO,040045000001,Agua Fria High School,4289,Agua Fria Union High School District,30.5,2018,0,0.4894946053378762,0.5105053946621237,0.0068143100511073255,0.019875070982396367,0.6433844406587166,0.11073253833049404,0.1896649630891539,0.004542873367404884,0.02498580352072686,0.599091425326519,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aguila Elementary District,0400480,Maricopa County,04013,2-No,5-Title I schoolwide school,0404,Elementary,158,135,74,84,0,3,145,1,7,0,2,Yes participating without using any Provision or the CEO,040048000002,Aguila Elementary School,4249,Aguila Elementary District,44.0,2018,0,0.46835443037974683,0.5316455696202531,0.0,0.0189873417721519,0.9177215189873418,0.006329113924050633,0.04430379746835443,0.0,0.012658227848101266,0.8544303797468354,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,6-Not a Title I school,0409,Elementary,491,372,237,254,54,2,330,36,54,2,13,Yes participating without using any Provision or the CEO,040831000763,Aguilar School,4258,Tempe School District,38.5,2018,0,0.48268839103869654,0.5173116089613035,0.109979633401222,0.004073319755600814,0.6720977596741344,0.07331975560081466,0.109979633401222,0.004073319755600814,0.026476578411405296,0.7576374745417516,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Espiritu Schools,0400939,Maricopa County,04013,1-Yes,6-Not a Title I school,0407,High,53,50,33,20,0,1,51,0,1,0,0,Yes under Community Eligibility Option (CEO),040093903495,AIM Higher College Prep Academy,92902,Espiritu Schools,31.0,2018,1,0.6226415094339622,0.37735849056603776,0.0,0.018867924528301886,0.9622641509433962,0.0,0.018867924528301886,0.0,0.0,0.9433962264150944,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,6-Not a Title I school,0403,Elementary,324,265,155,169,27,8,222,2,51,4,10,Yes participating without using any Provision or the CEO,040052000003,Ajo Elementary School,4409,Ajo Unified District,28.0,2018,0,0.4783950617283951,0.5216049382716049,0.08333333333333333,0.024691358024691357,0.6851851851851852,0.006172839506172839,0.1574074074074074,0.012345679012345678,0.030864197530864196,0.8179012345679012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ajo Unified District,0400520,Pima County,04019,2-No,6-Not a Title I school,0403,High,119,103,63,56,11,5,90,0,13,0,0,Yes participating without using any Provision or the CEO,040052003063,Ajo High School,4409,Ajo Unified District,22.5,2018,0,0.5294117647058824,0.47058823529411764,0.09243697478991597,0.04201680672268908,0.7563025210084033,0.0,0.1092436974789916,0.0,0.0,0.865546218487395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Akimel O'Otham Pee Posh Charter School Inc. 2,0400404,Pinal County,04021,1-Yes,5-Title I schoolwide school,0401,Elementary,82,,45,37,82,0,0,0,0,0,0,No,040040401993,Akimel O'Otham Pee Posh (3-5),78966,"Akimel O'Otham Pee Posh Charter School, Inc.",32.0,2018,1,0.5487804878048781,0.45121951219512196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Whiteriver Unified District,0409160,Navajo County,04017,2-No,6-Not a Title I school,0401,High,518,429,277,241,508,0,4,0,0,1,5,Yes under Community Eligibility Option (CEO),040916000005,Alchesay High School,4394,Whiteriver Unified District,5.5,2018,0,0.5347490347490348,0.46525096525096526,0.9806949806949807,0.0,0.007722007722007722,0.0,0.0,0.0019305019305019305,0.009652509652509652,0.8281853281853282,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phoenix Union High School District,0406330,Maricopa County,04013,2-No,6-Not a Title I school,0407,High,2687,2309,1426,1261,52,127,2107,244,121,5,31,Yes participating without using any Provision or the CEO,040633000538,Alhambra High School,4286,Phoenix Union High School District,20.5,2018,0,0.530703386676591,0.469296613323409,0.01935243766282099,0.0472646073688128,0.7841458876069967,0.09080759211016003,0.04503163379233346,0.0018608113137327876,0.011537030145143283,0.8593226646818013,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alhambra Elementary District,0400600,Maricopa County,04013,2-No,6-Not a Title I school,0407,Elementary,710,432,320,390,4,13,518,56,100,2,17,Yes participating without using any Provision or the CEO,040060001283,Alhambra Traditional School,4280,Alhambra Elementary District,87.0,2018,0,0.4507042253521127,0.5492957746478874,0.005633802816901409,0.018309859154929577,0.7295774647887324,0.07887323943661972,0.14084507042253522,0.0028169014084507044,0.023943661971830985,0.6084507042253521,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yuma Elementary District,0409600,Yuma County,04027,2-No,5-Title I schoolwide school,0403,Elementary,345,255,175,170,0,4,271,2,66,0,2,Yes participating without using any Provision or the CEO,040960000981,Alice Byrne Elementary School,4499,Yuma Elementary District,59.0,2018,0,0.5072463768115942,0.4927536231884058,0.0,0.011594202898550725,0.7855072463768116,0.005797101449275362,0.19130434782608696,0.0,0.005797101449275362,0.7391304347826086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Tucson Unified District,0408800,Pima County,04019,2-No,6-Not a Title I school,0402,Middle,653,417,339,314,6,15,353,33,207,1,38,Yes participating without using any Provision or the CEO,040880000817,Alice Vail Middle School,4403,Tucson Unified District,32.0,2018,0,0.5191424196018377,0.48085758039816234,0.009188361408882083,0.022970903522205207,0.5405819295558959,0.05053598774885146,0.3169984686064318,0.0015313935681470138,0.05819295558958652,0.6385911179173047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
All Aboard Charter School,0400396,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Elementary,121,93,65,56,3,2,63,22,29,0,2,Yes participating without using any Provision or the CEO,040039602306,All Aboard Charter School,79969,All Aboard Charter School,51.5,2018,1,0.5371900826446281,0.4628099173553719,0.024793388429752067,0.01652892561983471,0.5206611570247934,0.18181818181818182,0.2396694214876033,0.0,0.01652892561983471,0.768595041322314,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alpine Elementary District,0400630,Apache County,04001,2-No,6-Not a Title I school,0401,Elementary,60,,33,27,3,0,14,0,43,0,0,No,040063000019,Alpine Elementary School,4161,Alpine Elementary District,67.5,2018,0,0.55,0.45,0.05,0.0,0.23333333333333334,0.0,0.7166666666666667,0.0,0.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isaac Elementary District,0403960,Maricopa County,04013,2-No,6-Not a Title I school,0407,Elementary,672,618,344,328,4,0,631,22,12,0,3,Yes under Community Eligibility Option (CEO),040396000314,Alta E Butler School,4259,Isaac Elementary District,17.0,2018,0,0.5119047619047619,0.4880952380952381,0.005952380952380952,0.0,0.9389880952380952,0.03273809523809524,0.017857142857142856,0.0,0.004464285714285714,0.9196428571428571,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peoria Unified School District,0406250,Maricopa County,04013,2-No,6-Not a Title I school,0408,Elementary,787,581,391,396,14,30,495,50,169,1,28,Yes participating without using any Provision or the CEO,040625000507,Alta Loma School,4237,Peoria Unified School District,34.0,2018,0,0.49682337992376113,0.5031766200762389,0.017789072426937738,0.03811944091486658,0.6289707750952986,0.06353240152477764,0.21473951715374842,0.0012706480304955528,0.035578144853875476,0.7382465057179162,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Elementary,748,634,370,378,36,41,341,171,127,1,31,Yes under Community Eligibility Option (CEO),040906000916,Alta Vista Elementary School,4260,Washington Elementary School District,18.5,2018,0,0.4946524064171123,0.5053475935828877,0.0481283422459893,0.05481283422459893,0.45588235294117646,0.2286096256684492,0.1697860962566845,0.001336898395721925,0.04144385026737968,0.8475935828877005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Altar Valley Elementary District,0404770,Pima County,04019,2-No,5-Title I schoolwide school,0403,Middle,302,211,147,155,32,1,165,0,95,1,8,Yes under Community Eligibility Option (CEO),040477001005,Altar Valley Middle School,4418,Altar Valley Elementary District,26.0,2018,0,0.4867549668874172,0.5132450331125827,0.10596026490066225,0.0033112582781456954,0.5463576158940397,0.0,0.31456953642384106,0.0033112582781456954,0.026490066225165563,0.6986754966887417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tucson Youth Development/ACE Charter High School,0400079,Pima County,04019,1-Yes,5-Title I schoolwide school,0403,High,346,343,157,189,8,0,193,12,129,0,4,Yes participating without using any Provision or the CEO,040007901008,Alternative Computerized Education (ACE) Charter High School,4422,Tucson Youth Development/ACE Charter High School,9.0,2018,1,0.45375722543352603,0.546242774566474,0.023121387283236993,0.0,0.5578034682080925,0.03468208092485549,0.37283236994219654,0.0,0.011560693641618497,0.9913294797687862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,6-Not a Title I school,0403,High,39,23,16,23,38,0,0,0,0,1,0,Yes under Community Eligibility Option (CEO),040395003222,Alternative High School (Indian Oasis High School),4412,Baboquivari Unified School District #40,,2018,0,0.41025641025641024,0.5897435897435898,0.9743589743589743,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.5897435897435898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,6-Not a Title I school,0403,Middle,11,5,9,2,11,0,0,0,0,0,0,Yes under Community Eligibility Option (CEO),040395003210,Alternative Middle School (Indian Oasis Middle School),4412,Baboquivari Unified School District #40,6.0,2018,0,0.8181818181818182,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pendergast Elementary District,0406210,Maricopa County,04013,2-No,6-Not a Title I school,0403,Elementary,686,507,355,331,6,1,594,53,27,0,5,Yes under Provision 2,040621002570,Amberlea Elementary School,4283,Pendergast Elementary District,25.0,2018,0,0.5174927113702624,0.48250728862973763,0.008746355685131196,0.0014577259475218659,0.8658892128279884,0.07725947521865889,0.03935860058309038,0.0,0.007288629737609329,0.739067055393586,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
